;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
44277;1a2599e467e855f845dcbf9282f8bdbd97b85708;Method;0;0;;Intermediate Feature Representation;subsection : Intermediate Feature Representation;Our proposed system consists of two components , shown in Figure [ reference ] :;In this work we choose a low - level acoustic representation : mel - frequency spectrograms , to bridge the two components .;Intermediate Feature Representation;3
40229;1672ffebacadf849188668f24bcd377a19ae4051;Method;1;1;;LR model;Obviously , all the deep networks beat LR model significantly , which indeed demonstrates the power of deep learning .;The influence of random initialization on AUC is less than 0.0002 .;PNN and DeepFM with specially designed structures preform better than Wide & Deep .;Result from model comparison on Amazon Dataset and MovieLens Dataset;19
39618;165ef2b5f86b9b2c68b652391db5ece8c5a0bc7e;Method;1;;;pyramid pooling;The traditional pyramid pooling ( in a sliding manner ) on the feature map is able to capture information from background regions of different sizes .;In our approach , to encode rich background information , we construct multi - scale networks and apply sliding pyramid pooling on feature maps .;Incorporating general pairwise ( or high - order ) potentials usually involves expensive inference , which brings challenges for CRF learning .;Introduction;2
61923;26fe009b958e8728382d9d764bd7153632f0b869;Method;1;;;Shortcut - Stacked sentence encoders;Our Shortcut - Stacked sentence encoders achieve strong improvements over existing encoders on matched and mismatched multi - domain natural language inference ( top non - ensemble single - model result in the EMNLP RepEval 2017;The overall supervised model uses the above encoder to encode two input sentences into two vectors , and then uses a classifier over the vector combination to label the relationship between these two sentences as that of entailment , contradiction , or neural .;Shared Task ) .;Shortcut - Stacked Sentence Encoders for Multi - Domain Inference;0
98259;40b0fced8bc45f548ca7f79922e62478d2043220;Method;1;;;MRF smoothness prior;We approach this difficult task in the style of SIFT flow : we retrieve near neighbors using a coarse similarity measure , and then compute dense correspondences on which we impose an MRF smoothness prior which finally allows all images to be warped into alignment .;To test this , we use convnet features for the task of aligning different instances of the same class .;Nearest neighbors are computed using fc 7 features .;Intraclass alignment;8
5012;02e85d62fbd8249a046d00ac10e39546511b2a51;Method;1;;;3D fully connected Conditional Random Field;For post - processing of the network ’s soft segmentation , we use a 3D fully connected Conditional Random Field which effectively removes false positives .;In order to incorporate both local and larger contextual information , we employ a dual pathway architecture that processes the input images at multiple scales simultaneously .;Our pipeline is extensively evaluated on three challenging tasks of lesion segmentation in multi - channel MRI patient data with traumatic brain injuries , brain tumors , and ischemic stroke .;Efficient Multi - Scale 3D CNN with fully connected CRF for Accurate Brain Lesion Segmentation;0
69173;2c761495cf3dd320e229586f80f868be12360d4e;Method;1;;;SGD iterations;Our model is trained for 30k SGD iterations using a mini - batch of 6 images , momentum of 0.9 , an initialize learning rate ( LR ) of and ” polynomial ” learning rate policy .;For training , we use mini - batch SGD with momentum .;All layers are trained with L2 - regularization ( weight decay of ) .;Semantic Segmentation;17
41270;1713d05f9d5861cac4d5ec73151667cb03a42bfc;Method;0;;;neural - based models;Moreover , as the demand for low - latency neural computation for mobile platforms increases , some neural - based models are expected to run on mobile devices .;When other components of the neural network are also large , the model may fail to fit into GPU memory during training .;Thus , it is becoming more important to compress the size of NLP models for deployment to devices with limited memory or storage capacity .;Introduction;1
62294;2742a33946e20dd33140b8d6e80d5fd04fced1b2;Method;1;;;feature descriptor;[ reference ] . Given a 30×30×30 TDF voxel grid of a local 3D patch around an interest point , we use eight convolutional layers ( each with a rectified linear unit activation function for nonlinearity ) and a pooling layer to compute a 512 - dimensional feature representation , which serves as the feature descriptor .;3DMatch is a standard 3D ConvNet , inspired by AlexNet;Since the dimensions of the initial input voxel grid are small , we only include one layer of pooling to avoid a substantial loss of information .;Network Architecture;8
95335;3e7f54801c886ea2061650fd24fc481e39be152f;Method;0;;;RTW;( RTW ) .;Figure [ reference ] shows examples of qualitative results from frontal and top down views for Shotton et al . and random tree walk;For the top - down view , we show only 8 joints on the upper body ( i.e. head , neck , left shoulder , right shoulder , left elbow , right elbow , left hand , and right hand ) as the lower body joints are almost always occluded .;Comparison with State - of - the - Art;11
71308;2d83dbf4c8eabc6bdef3326c4a30d5f33ffc944e;Method;0;;?;explicit attention mechanism;Based on this , we argue that MRN is an implicit attention model without explicit attention mechanism .;Since MRN does not depend on a few attention parameters ( e.g . ) , our visualization method shows a higher resolution than others .;;Qualitative Analysis;23
39305;15e81c8d1c21f9e928c72721ac46d458f3341454;Method;0;;;Autoregressive NMT without RNNs;paragraph : Autoregressive NMT without RNNs;Choosing to factorize the machine translation output distribution autoregressively enables straightforward maximum likelihood training with a cross - entropy loss applied at each decoding step : This loss provides direct supervision for each conditional probability prediction .;Since the entire target translation is known at training time , the calculation of later conditional probabilities ( and their corresponding losses ) does not depend on the output words chosen during earlier decoding steps .;Autoregressive NMT without RNNs;5
62004;26fe009b958e8728382d9d764bd7153632f0b869;Method;1;;;Entailment Classifier;subsection : Entailment Classifier;Our experiments ( Section [ reference ] ) demonstrate that our enhancements of the stacked - biRNN with shortcut connections provide significant gains on top of this baseline ( for both SNLI and Multi - NLI ) .;After we obtain the vector representation for the premise and hypothesis sentence , we apply three matching methods to the two vectors for these two vectors and then concatenate these three match vectors ( based on the heuristic matching presented in mou2015natural ) .;Entailment Classifier;4
58283;23c141141f4f63c061d3cce14c71893959af5721;Method;0;;;shift - reduce parser;A shift - reduce parser accepts a sequence of input tokens and consumes transitions , where each specifies one step of the parsing process .;The formalism is widely used in natural language parsing .;In general a parser may also generate these transitions on the fly as it reads the tokens .;Background : Shift - reduce parsing;4
142;000f90380d768a85e2316225854fc377c079b5c4;Method;0;;;Feed - Forward Networks;Feed - Forward Networks .;;Until recently , the majority of feedforward networks , such as the VGG - variants [ reference ] , were composed of a linear sequence of layers .;Network Architectures for Segmentation;4
4845;02a5b7a41ffa8518eb3b7cae9914a2bd2bbc886b;Method;1;;;fully - convolutional baselines;the two fully - convolutional baselines .;w.r.t .;Interestingly , the gap significantly widens when considering mAP at the higher accuracy regime of 0.7 IOU : + 41.6 and + 18.4 respectively .;Evaluation for visual object tracking;11
99432;41232a69c0f8d4b993e6c6e00b16c223442c962f;Method;1;;;Gate Analysis;subsection : Gate Analysis;We leave it as our future work .;As shown in Table [ reference ] , FTSum achieves much higher ROUGE scores than FTSum .;Gate Analysis;15
49721;1db9bd18681b96473f3c82b21edc9240b44dc329;Method;1;;;attention mechanism aiayn;Here , we use the Image Transformer in an encoder - decoder configuration , connecting the encoder and decoder through an attention mechanism aiayn .;Following PixelRecursiveSuperResolution , in our experimental setup we enlarge an pixel image four - fold to , a process that is massively underspecified : the model has to generate aspects such as texture of hair , makeup , skin and sometimes even gender that can not possibly be recovered from the source image .;For the encoder , we use embeddings for RGB intensities for each pixel in the 8 image and add dimensional positional encodings for each row and width position .;Image Super - Resolution;14
57809;23ae5fa0e8d581b184a8749d764d2ded128fd87e;Method;0;;?;pooling operations;The most basic version of this approach would not involve combining learned pooling operations , but simply learning pooling operations in the form of the values in âpooling filtersâ.;"These pooling layers remain distinct from convolution layers since pooling is performed separately within each channel ; this channel isolation also means that even the option that introduces the largest number of parameters still introduces far fewer parameters than a convolution layer would introduce .";One step further brings us to what we refer to as tree pooling , in which we learn pooling filters and also learn to responsively combine those learned filters .;Tree pooling;8
91630;3b1b94441010615195a5c404409ce2416860508c;Method;0;;;VIS + BOW;VIS + BOW performs multinomial logistic regression based on image features and a BOW vector obtained by summing all the word vectors of the question .;GUESS simply selects the modal answer from the training set for each of 4 question types .;VIS + LSTM has one LSTM to encode the image and question , while 2 - VIS + BLSTM has two image feature inputs , at the start and the end .;Results on DAQURA;18
29016;0f84a81f431b18a78bd97f59ed4b9d8eda390970;Method;1;;;conv1 - conv12;It has 12 convolutional layers ( conv1 - conv12 ) and was trained for iterations with batches of samples each , starting with a learning rate of and dividing it by after every iterations .;To test if the architectures performing best on CIFAR - 10 also apply to larger datasets , we trained an upscaled version of the All - CNN - B network ( which is also similar to the architecture proposed by Lin_2014 ) .;A weight decay of was used in all layers .;Classification of Imagenet;9
14019;07cca2bdd0dc2fee02889e17789748eba9d06ffa;Method;1;;;moving window;3c and 5 illustrate this process , where a moving window classifies each 3 - sized instance moving segment - by - segment along the track .;Figs .;Table 5 Confusion matrix for classification of instances of 3 segments .;Title;0
34982;13ea9a2ed134a9e238d33024fba34d3dd6a010e0;Method;1;;;fully connected;We view each weight vector within a fully connected ( FC ) layer in a convolutional neuron network ( CNN ) as a projection basis .;This paper proposes the SVDNet for retrieval problems , with focus on the application of person re - identification ( re - ID ) .;It is observed that the weight vectors are usually highly correlated .;SVDNet for Pedestrian Retrieval;0
93046;3d18ce183b5a5b4dcaa1216e30b774ef49eaa46f;Method;1;;;z - score normalization;Since the parameter range varies significantly , we conduct z - score normalization before training .;In this work , we discuss two baselines and propose a novel cost function .;;Cost Function;7
74931;2f92b10acf7c405e55c74c1043dabd9ded1b1800;Method;1;;;BiLSTM readers;In particular , we have shown that relatively simple task architectures ( e.g. , based on simple BiLSTM readers ) can become competitive with state of the art , task - specific architectures when augmented with our reading architecture .;Our results show that embedding refinement using both the system ’s text inputs , as well as supplementary text from external background knowledge can yield large improvements .;Our analysis demonstrates that our model learns to exploit provided background knowledge in a semantically appropriate way .;Conclusion;22
54443;220a0b46840a2a1421c62d3d343397ab087a3f17;Method;0;;;convolutional image filters;The spatial term uses the FoE model from , while the data term replaces traditional derivative filters with a set of learned convolutional image filters .;They formulate a classical flow problem with a data term and a spatial term .;With limited training data and a small set of filters , it did not fully show the full promise of learning flow .;Related Work;2
20197;0b544dfe355a5070b60986319a3f51fb45d1348e;Method;1;;;gradient - based algorithm;In our case , as the output of the decoder , starting from the input , is differentiable , we can use a gradient - based algorithm to estimate the model parameters .;The two components of the proposed RNN Encoder – Decoder are jointly trained to maximize the conditional log - likelihood where is the set of the model parameters and each is an ( input sequence , output sequence ) pair from the training set .;Once the RNN Encoder – Decoder is trained , the model can be used in two ways .;RNN Encoder – Decoder;4
16113;09da677bdbba113374d8fe4bb15ecfbdb4c8fe40;Method;1;;;HORNN framework;By revealing the equivalence of the state - of - the - art Residual Network ( ResNet ) and Densely Convolutional Network ( DenseNet ) within the HORNN framework , we find that ResNet enables feature re - usage while DenseNet enables new features exploration which are both important for learning good representations .;In this work , we present a simple , highly efficient and modularized Dual Path Network ( DPN ) for image classification which presents a new topology of connection paths internally .;To enjoy the benefits from both path topologies , our proposed Dual Path Network shares common features while maintaining the flexibility to explore new features through dual path architectures .;Dual Path Networks;0
81317;34f63959ea4a13a05948274a1558c6854a051150;Method;1;;;stochastic prediction dropout;During training , we apply stochastic prediction dropout liu2018san before the above averaging operation .;A one - layer classifier is used to determine the relation at each step : At last , we utilize all of the outputs by averaging the scores : Each is a probability distribution over all the relations .;During decoding , we average all outputs to improve robustness .;Pairwise Text Classification Output :;12
47106;1bea6bbdb4aed87fff5390d42934a1d9b0a7bec4;Method;0;;;natural language understanding approaches;There does not seem to be much useful headroom for exploring more sophisticated natural language understanding approaches on this dataset .;We believe that the neural - net system already achieves near - optimal performance on all the single - sentence and unambiguous cases .;;Per - category Performance;13
1894;0116899fce00ffa4afee08b505300bb3968faf9f;Method;0;;;hierarchical RL;To our knowledge , this is the first work that considers the information leaking in GAN framework for better training generators and combines hierarchical RL to address long text generation problems .;As such , the MANAGER module can be also viewed as a spy that leaks information from the discriminator to better guide the generator .;;Related Work;3
59918;2451db113552afb6d9ad15ef4009ec4133d28f74;Method;0;;;element - wise square root normalization;DeepO P. Since improved B - CNN is identical to MPN - COV if element - wise square root normalization and normalization are neglected , its unsatisfactory performance suggests that , after matrix square root normalization , further element - wise square root normalization and normalization hurt large - scale ImageNet classification .;All matrix square root normalization methods except improved B - CNN outperform B - CNN and;This is consistent with the observation in , where after matrix power normalization , additional normalization by Frobenius norm or matrix norm makes performance decline .;Evaluation with AlexNet on ImageNet;14
54085;218b80da3eb15ae35267d280dcc4a806d515334a;Method;1;;;MaxMatch;Being consistent with the official evaluation metrics , we use MaxMatch ( M ) dahlmeier - ng:2012:NAACL - HLT for CoNLL - 2014 and use GLEU napoles2015ground for JFLEG evaluation .;CoNLL - 2014 test set contains 1 , 312 sentences , while JFLEG test set has 747 sentences .;It is notable that the original annotations for CoNLL - 2014 dataset are from 2 human annotators , which are later enriched by that contains 10 human expert annotations for each test sentence .;Dataset and evaluation;12
92970;3d18ce183b5a5b4dcaa1216e30b774ef49eaa46f;Method;0;;;cascaded regression;By utilizing the feedback characteristic that the the output ( landmark positions ) of the regression has an influence on the input ( features at landmarks ) , the cascaded regression cascades a list of weak regressors to reduce the alignment error progressively and reaches the state of the art .;Recently , the regression based method , which maps the discriminative features around landmarks to the desired landmark positions , has been proposed .;Besides traditional models , convolutional neutral network ( CNN ) has also been employed in face alignment recently .;Related Works;2
90614;3a7895b17db0cda7bbf86bcda52c46a3e03b6ded;Method;0;;;Speaker GRU;subsubsection : Speaker Update ( Speaker GRU ) :;The main purpose of this module is to ensure that the model is aware of the speaker of each utterance and handle it accordingly .;Speaker usually frames the response based on the context , which is the preceding utterances in the conversation .;Speaker Update ( Speaker GRU ) :;11
26193;0e37c8f19eefeb0c20d92f5cb4df4153077c116b;Method;0;;;spectral parametrization;Figure 5 : Optimization of CNNs via spectral parametrization .;Pooling ( 5 ) 5 ⇥ 5 4.8 ( b ) Speedup factors .;All experiments include data augmentation .;Title;0
13901;07cca2bdd0dc2fee02889e17789748eba9d06ffa;Method;0;;;MANOVA;The former is used in multivariate analysis of variance ( MANOVA ) to test whether there are differences between the means of identified groups of subjects on a combination of dependent variables ( Everitt & Dunn , 1991 ) .;In order to assess the discriminability of the different IVs two statistical measures are introduced : the Wilks ’ Lambda K and the BetweenGroups F.;Wilk ’s Lambda is a statistic that takes into consideration both the differences between groups and the cohesiveness or homogeneity within groups ( Klecka , 1980 ) .;Title;0
19021;0a49b4de21363d86599d4a058aaf4f5aed019495;Method;1;;;beamsearch;We use beamsearch to approximately find the most likely translation given a source sentence .;;The beam widths are and respectively for the subword - level and character - level decoders .;Decoding and Evaluation;18
76524;303fef411f235e6d1125a40af1e93224f498a4d5;Method;0;;;SGVB estimator;Except for chung2016hierarchical , these structures all define a continuous latent variable for each step of the RNN computation , and rely on the SGVB estimator kingma2013auto to optimize a variational lower bound of the log - likelihood .;Finally , several previous works have tried to introduce latent variables into sequence modeling bayer2014learning , gregor2015draw , chung2015recurrent , gan2015deep , fraccaro2016sequential , chung2016hierarchical .;Since exact integration is infeasible , these models can not estimate the likelihood ( perplexity ) exactly at test time .;Related work;20
80040;34273979fd2a62fd7b49ee6d14a925864ff94e74;Method;1;;;recurrent relational reasoning module;We develop a recurrent relational reasoning module , which constitutes our main contribution .;This paper considers many - step relational reasoning , a challenging task for deep learning architectures .;We show that it is a powerful architecture for many - step relational reasoning on three varied datasets , achieving state - of - the - art results on bAbI and Sudoku .;Introduction;1
77036;3112d2d95d66b3d54a72c55072647aab937e410e;Method;0;;;copy - based models;While the use of copy - based models and additional reconstruction terms in the training loss can lead to improvements in BLEU and in our proposed extractive evaluations , current models are still quite far from producing human - level output , and are significantly worse than templated systems in terms of content selection and realization .;Our experiments indicate that neural systems are quite good at producing fluent outputs and generally score well on standard word - match metrics , but perform quite poorly at content selection and at capturing long - term structure .;Overall , we believe this problem of data - to - document generation highlights important remaining challenges in neural generation systems , and the use of extractive evaluation reveals significant issues hidden by standard automatic metrics .;Introduction;2
59134;23f5854b38a15c2ae201e751311665f7995b5e10;Method;0;;;δ distribution;is a δ distribution with mass only at the output of д ϕ ( x u ) .;There are two key distinctions of note : ( 1 ) The autoencoder ( and denoising autoencoder ) effectively optimizes the first term in the vae objective ( Eq . 5 and Eq . 6 ) using a delta variational distribution;Contrast this to the vae , where the learning is done using a variational distribution , i.e. , д ϕ ( x u ) outputs the parameters ( mean and variance ) of a Gaussian distribution .;A taxonomy of autoencoders;9
37661;15ca7adccf5cd4dc309cdcaa6328f4c429ead337;Method;0;;;3D shape descriptors;3D shape descriptors lie at the core of shape analysis and a large variety of shape descriptors have been designed in the past few decades .;;3D shapes can be converted into 2D images and represented by descriptors of the converted images .;3D Shape Descriptors .;3
31014;10203151008a20b32ce089f7f9d580005c2426cf;Method;0;;;min - hash;Then , query images are chosen via min - hash and spatial verification , as in .;It uses Hessian affine local features , RootSIFT descriptors , and a fine vocabulary of 16 M visual words .;Image retrieval based on BoW is used to collect images of the objects / landmarks .;BoW and 3D reconstruction;8
97807;4087ebc37a1650dbb5d8205af0850bee74f3784b;Method;1;;;Bayesian perspective of neural network training;We implement this through a cyclical batch size schedule motivated by a Bayesian perspective of neural network training .;Here , we propose a method of weight re - initialization by repeated annealing and injection of noise in the training process .;We evaluate our methods through extensive experiments on tasks in language modeling , natural language inference , and image classification .;Abstract;1
19483;0a78873e41615798d09391d9f40d41666b8c9beb;Method;0;;;total knee arthroplasty;"For example , consider the starting intervention span ” underwent conventional total knee arthroplasty ” ; there is only one intervention in the span but some annotators assigned the surgical label to all five tokens while others opted for only ” total knee arthroplasty .";As a proxy for formally enumerating these entities , we observe that a large majority of starting spans only contain a single target relevant to the subspan labeling task , and so identifying repetition between the starting spans is sufficient .;By analyzing repetition at the level of the starting spans , we can compute agreement without concern for the confounds of slight misalignments or differences in length of the subspans .;Repetition;11
88826;38d7920f0e8a3a672ea37c8612b2b2947b9ba9d1;Method;1;;;SSDLite version;It obtains an mAP of 34.1 % compared to the SSDLite version which obtained 22.1 % .;We also show results for Faster - RCNN trained with MobileNetV2 .;This again highlights the importance of image pyramids ( and SNIPER training ) as we can improve the performance of the detector by 12 % .;Comparison with State - of - the - art;14
95372;3e7f54801c886ea2061650fd24fc481e39be152f;Method;1;;;viewpoint invariant model;We introduced a viewpoint invariant model that estimates 3D human pose from a single depth image .;;Our model is formulated as a deep discriminative model that attends to glimpses in the input .;Conclusion;13
12206;06c5b86b638b2f3572b9cdd9ef0be4740b16781b;Method;1;;;multi - sentiment - resource attention mechanism;After obtaining the coupled word embedding , we propose a multi - sentiment - resource attention mechanism to help select the crucial sentiment - resource - relevant context words to build the sentiment - specific sentence representation .;;Concretely , we use the three kinds of sentiment resource words as attention sources to attend to the context words respectively , which is beneficial to capture different sentiment - relevant context words corresponding to different types of sentiment sources .;Multi - sentiment - resource Attention Module;4
89752;3a28fe49e7a856ddd60d134696a891ed7bca5962;Method;0;;;MS - CNN;Similarly , proposes a uniï¬ed multi - scale convolutional neural network ( MS - CNN ) , which performs detection at multiple intermediate layers to match objects of different scales , as well as an upsampling operation to prevent insufficient resolution of feature maps for handling small instances .;SA - FastRCNN develops a divide - and - conquer strategy based on Fast - RCNN that uses multiple built - in subnetworks to adaptively detect pedestrians across scales .;Rather than using a single downstream classifier , the fused deep neural network ( F - DNN + SS ) method uses a derivation of the Faster R - CNN framework fusing multiple parallel classifiers including Resnet and Googlenet using soft - rejection , and further incorporates pixel - wise semantic segmentation in a post - processing manner to suppress background proposals .;Multi - scale Object Detection;3
10509;06150e6e69a379c27e1d0100fcd7660f073cbacf;Method;1;;;overcomplete representation;The result is an overcomplete representation well suited for use with orthogonal trees .;Next , rather than applying global decorrelation , which would be computationally prohibitive for sliding window detection with a nonlinear classifier1 , we instead propose to apply an efficient local decorrelation transform .;1Global decorrelation coupled with a linear classifier is efficient as the two linear operations can be merged .;Title;0
51014;1e7a36c4d4f96b29e3edf51b6eb61f8e16217704;Method;0;;;vanilla RNN;In a vanilla RNN , it is difficult to allow inputs to greatly affect the hidden state vector without erasing information from the past hidden state .;However , if the RNN has flexible input - dependent transition functions , the tree will be able to grow wider more quickly , giving the RNN the flexibility to represent more probability distributions .;However , an RNN with a transition function mapping dependent on the input would allow the relative values of to vary with each possible input , without overwriting the contribution from the previous hidden state , allowing for more long term information to be stored .;Input - dependent transition functions;2
75596;30180f66d5b4b7c0367e4b43e2b55367b72d6d2a;Method;1;;;average feature encodings;This strategy performed consistently worse than computing average feature encodings .;Finally , we also note that we ran experiments computing average media encodings , computing the margins for each encoding , then averaging the margins .;;Fusion Study;10
68268;2c03df8b48bf3fa39054345bafabfeff15bfd11d;Method;0;;;deep model;Unexpectedly , such degradation is not caused by overfitting , and adding more layers to a suitably deep model leads to higher training error , as reported in [ reference ][ reference ] and thoroughly verified by our experiments .;When deeper networks are able to start converging , a degradation problem has been exposed : with the network depth increasing , accuracy gets saturated ( which might be unsurprising ) and then degrades rapidly .;Fig .;Introduction;2
57992;23ae5fa0e8d581b184a8749d764d2ded128fd87e;Method;0;;;m - view;m - view;s - view top - 1 m - view top - 5;;Classification results;12
107177;45fdc73a239e9c6ea65e98c96f6a2d6dc35d6f72;Method;0;;;Quaternion internal representation;subsection : Quaternion internal representation;This section defines the internal quaternion representation ( Section [ reference ] ) , the quaternion convolution ( Section [ reference ] ) , a proper parameter initialization ( Section [ reference ] ) , and the connectionist temporal classification ( Section [ reference ] ) .;The QCNN is a quaternion extension of well - known real - valued and complex - valued deep convolutional networks ( CNN ) .;Quaternion internal representation;4
95189;3e7f54801c886ea2061650fd24fc481e39be152f;Method;1;;;body part detector;As a result , we can train a body part detector to be invariant to viewpoint changes .;Our core contribution is as follows : we leverage depth data to embed local patches into a learned viewpoint invariant feature space .;To provide richer context , we also introduce recurrent connections to enable our model to reason on past actions and guide downstream global pose estimation ( see Figure [ reference ] ) .;Model;3
58640;23dcfda130aada27c158c0b5f394cac489c9c795;Method;0;;;face detectors;Detector arrays were once a popular method when frontal face detection had increased success , the idea was to train multiple face detectors for different head poses .;In the classic literature we can discern Appearance Template Models which seek to compare test images with a set of pose exemplars .;Recently , facial landmark detectors which have become very accurate , have been popular for the task of pose estimation .;RELATED WORK;2
55559;2298490e82ff3fd03a3a28bd9c9f307bd897a753;Method;1;;;bias initialization;In contrast to focal loss , our approach does n’t need a specialized bias initialization .;While the final model evaluated on test - dev adopts ResNeXt - 101 .;;Network Setting :;16
27090;0ee850dd6640a96531ac5ad21da5438db04d8b3c;Method;0;;;auto - encoders Baldi:2012;Other generative approaches such as language modeling in NLP , and , more recently , various flavors of auto - encoders Baldi:2012 and generative adversarial networks Goodfellow:2014 in computer vision have shown a promise in building more accurate models .;For example in NLP , various methods for learning distributed word representations , e.g. , word2vec Mikolov:2013 , GloVe Pennington:2014 , and sentence representations , e.g. , paragraph vectors Le:2014 and skip - thought Kiros:2015 have been shown very useful to pre - train word embeddings that are then used for other tasks such as sentence classification , sentiment analysis , etc .;Despite the advances in computer vision , speech recognition , and NLP tasks using unsupervised deep neural networks , such advances have not been observed in core information retrieval ( IR ) problems , such as ranking .;Introduction;1
29048;0f84a81f431b18a78bd97f59ed4b9d8eda390970;Method;0;;;Fergus;For higher layers of our network the method of Zeiler and Fergus fails to produce sharp , recognizable , image structure .;Interestingly , the very first layer of the network does not learn the usual Gabor filters , but higher layers do .;This is in agreement with the fact that lower layers learn general features with limited amount of invariance , which allows to reconstruct a single pattern that activates them .;Deconvolution;10
96991;3febb2bed8865945e7fddc99efd791887bb7e14f;Method;1;;;local inference layer;Our baseline , the ESIM sequence model from Chen2017EnhancedLF , uses a biLSTM to encode the premise and hypothesis , followed by a matrix attention layer , a local inference layer , another biLSTM inference composition layer , and finally a pooling operation before the output layer .;The Stanford Natural Language Inference ( SNLI ) corpus snliemnlp2015 provides approximately 550 K hypothesis / premise pairs .;Overall , adding ELMo to the ESIM model improves accuracy by an average of 0.7 % across five random seeds .;Evaluation;8
10590;06150e6e69a379c27e1d0100fcd7660f073cbacf;Method;0;;;naive brute - force approach;Given the high complexity of each step , a naive brute - force approach for training is infeasible .;Finally computing z = wᵀx over all n training examples and d projections is O ( ndm2 ) .;Speedup :;Title;0
80567;346578304ff943b97b3efb1171ecd902cb4f6081;Method;1;;;single step gradient method;We use the single step gradient method as in [ reference ] ) , and batch normalization [ reference ] ) was used in each of the generator layers .;We use convolutional transpose layers [ reference ] ) for G and strided convolutions for D except for the input of G and the last layer of D.;The different discriminators were trained with varying dropout rates from [ reference ] . Variations in the discriminators were effected in two ways .;A.8 EXPERIMENTAL SETUP;22
5119;02e85d62fbd8249a046d00ac10e39546511b2a51;Method;1;;?;CNN component;The main contributions of our work are within the CNN component which we describe first in the following .;Our proposed lesion segmentation method consists of two main components , a 3D CNN that produces highly accurate , soft segmentation maps , and a fully connected 3D CRF that imposes regularization constraints on the CNN output and produces the final hard segmentation labels .;;Method;4
65386;2a69ddbafb23c63e5e22401664bea229daaeb7d6;Method;0;;;handcrafted representations of global contrast;Early approaches utilize handcrafted representations of global contrast or multi - scale region features .;Precisely locating the salient object regions in an image requires an understanding of both large - scale context information for the determination of object saliency , as well as small - scale features to localize object boundaries accurately .;Li et al .;Salient object detection .;7
48166;1cf6bc0866226c1f8e282463adc8b75d92fba9bb;Method;0;;;deep features;, we see that models based on deep features significantly outperform the Multi - World approach based on hand - crafted features .;[ reference ];Modeling the question only with either the LSTM model or Question BOW model does equally well in comparison , indicating the the question text contains important prior information for predicting the answer .;Results on DAQUAR;11
81138;34cf90fcbf83025666c5c86ec30ac58b632b27b0;Method;1;;;fusion of full - body and body - part identity discriminative features;In this work , we have studied the problem of person ReID in three levels : 1 ) a multi - scale context - aware network to capture the context knowledge for pedestrian feature learning , 2 ) three novel constraints on STN for effective latent parts localization and body - part feature representation , 3 ) the fusion of full - body and body - part identity discriminative features for powerful pedestrian representation .;;We have validated the effectiveness of the proposed method on current large - scale person ReID datasets .;Conclusion;15
55252;228db5326a10cd67605ce103a7948207a65feeb1;Method;1;;;question models;[ reference ] to [ reference ] show that the two - layer SAN gives the best results across all data sets and the two kinds of question models in the SAN , LSTM and CNN , give similar performance .;The experimental results in Table .;For example , on DAQUAR - ALL ( Table .;Results and analysis;13
37077;1518039b5001f1836565215eb047526b3ac7f462;Method;0;;;multilingual algorithms;For multilingual segmentation tasks , multilingual algorithms have been proposed;For speech recognition , phone - level language models have been used [ reference ] . [ reference ] investigate subword language models , and propose to use syllables .;[ reference ] .;Related Work;5
59326;23f5854b38a15c2ae201e751311665f7995b5e10;Method;1;;;user - level subsampling;We change the ( user , item ) entry subsampling strategy in SGD training in the original paper to the user - level subsampling as we did with Mult - vae pr and Mult - dae .;Collaborative denoising autoencoder ( cdae ) [ reference ] : augments the standard denoising autoencoder by adding a per - user latent factor to the input .;We generally find that this leads to more stable convergence and better performance .;Baselines;17
45595;1abf6491d1b0f6e8af137869a01843931996a562;Method;0;;;structure training / inference;In our on going work , we are exploring combining our technique with structure training / inference as done in .;Given the simplicity and ease of training , we find these results very encouraging .;;Conclusion;10
95228;3e7f54801c886ea2061650fd24fc481e39be152f;Method;0;;;pose prediction;To achieve this , we refine our previous pose prediction by learning correction offsets ( i.e. feedback ) denoted by .;Ultimately , our goal is to predict the location of the joint corresponding to each visible human body part .;Furthermore , we only learn correction offsets for joints that are visible .;Multi - Task Loss;5
9502;05357b8c05b5bc020e871fc330a88910c3177e4d;Method;0;;;spatial regulariser;Notice that not only uses the weighted pooling as we stated in Section [ reference ] , but also combines the objectness measure of EdgeBoxes and the spatial regulariser , which is much complicated than our basic MIDN .;Specially , our methods achieves much better performance than the method by Bilen and Vedaldi using the same CNN model .;We believe that our performance can be improved by choosing better basic detection network , like the complete network in and using the context information .;Comparison with other methods;15
98033;4087ebc37a1650dbb5d8205af0850bee74f3784b;Method;0;;;cyclical batch size schedules;The primary limitation of our work is that cyclical batch size schedules introduce another hyper - parameter that requires manual tuning .;We performed an extensive variety of experiments on different tasks in order to comprehensively test the algorithm .;We note that this is also true for cyclical learning rate schedules , and hope to address this using second order methods [ reference ] as part of future work .;Limitations;10
